Name,Platform,Year_of_Release,Genre,NA_players,EU_players,JP_players,Other_players,Critic_Score,User_Score,Rating
Imagine: Makeup Artist,DS,2020-01-01,Simulation,0.27,0,0,0.02,nan,tbd,E
Phantasy Star Online 2 Episode 4: Deluxe Package,PS4,2017-01-01,Role-Playing,0,0,0.04,0,nan,,
Phantasy Star Online 2 Episode 4: Deluxe Package,PSV,2017-01-01,Role-Playing,0,0,0.01,0,nan,,
Brothers Conflict: Precious Baby,PSV,2017-01-01,Action,0,0,0.01,0,nan,,
FIFA 17,PS4,2016-01-01,Sports,0.66,5.75,0.08,1.11,85,5,E
Pokemon Sun/Moon,3DS,2016-01-01,Role-Playing,2.98,1.45,2.26,0.45,nan,,
Uncharted 4: A Thief's End,PS4,2016-01-01,Shooter,1.85,2.5,0.19,0.85,93,7.9,T
Call of Duty: Infinite Warfare,PS4,2016-01-01,Shooter,1.61,2,0.15,0.71,77,3.4,M
Battlefield 1,PS4,2016-01-01,Shooter,1.1,2.15,0.21,0.61,88,8.4,M
Tom Clancy's The Division,PS4,2016-01-01,Shooter,1.35,1.7,0.15,0.6,80,7,M
FIFA 17,XOne,2016-01-01,Sports,0.43,2.05,0,0.17,84,5.5,E
Call of Duty: Infinite Warfare,XOne,2016-01-01,Shooter,1.46,0.74,0,0.22,78,3.1,M
Far Cry: Primal,PS4,2016-01-01,Action,0.6,1.25,0.06,0.35,76,6.3,M
Battlefield 1,XOne,2016-01-01,Shooter,1.28,0.77,0,0.2,87,8.2,M
Tom Clancy's The Division,XOne,2016-01-01,Shooter,1.29,0.68,0,0.2,80,6.9,M
Overwatch,PS4,2016-01-01,Shooter,0.81,0.85,0.15,0.33,90,6.1,T
NBA 2K17,PS4,2016-01-01,Sports,1.25,0.27,0.02,0.34,88,6.7,E
Mafia III,PS4,2016-01-01,Action,0.42,1.08,0.03,0.28,68,5.1,M
Madden NFL 17,PS4,2016-01-01,Sports,1.25,0.17,0,0.32,82,4.9,E
No Man's Sky,PS4,2016-01-01,Action,0.63,0.76,0.03,0.27,71,4.5,T
Dark Souls III,PS4,2016-01-01,Role-Playing,0.65,0.45,0.34,0.22,89,8.8,M
Ratchet & Clank (2016),PS4,2016-01-01,Platform,0.5,0.76,0.04,0.24,nan,,
Doom (2016),PS4,2016-01-01,Shooter,0.54,0.69,0.02,0.24,nan,,
Gears of War 4,XOne,2016-01-01,Shooter,0.78,0.44,0,0.12,84,6.2,M
Yokai Watch 3,3DS,2016-01-01,Action,0,0,1.33,0,nan,,
The Elder Scrolls V: Skyrim,PS4,2016-01-01,Role-Playing,0.48,0.59,0.04,0.21,nan,,
Madden NFL 17,XOne,2016-01-01,Sports,1.08,0.02,0,0.13,83,5.9,E
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016-01-01,Fighting,0.41,0.45,0.11,0.17,79,8.2,T
Watch Dogs 2,PS4,2016-01-01,Action,0.37,0.58,0,0.18,83,7.8,M
